record_id,gate,component,source_kind,official_url,official_version,local_path,inspected_locator,expected,observed,alignment_status,execution_status,command_or_test,artifact_path,notes
"src-rlinf-v02","source-identity","RLinf implementation base","release","https://github.com/RLinf/RLinf/tree/release/v0.2","46213e88caa910a4a52e68bde4fb96416c1efa55",".git; docs/fibocom_vla_evidence/source_lock.json","git rev-parse release/v0.2; source_lock.json implementation_base","release/v0.2 at 46213e88","release/v0.2 resolves to 46213e88 and the feature branch descends from it","aligned","not-applicable","","docs/fibocom_vla_evidence/source_lock.json","The current feature branch deliberately targets the internship-era v0.2 base."
"iface-openpi","interface","RLinf OpenPI preprocessing and sampling boundary","repo","https://github.com/RLinf/RLinf/tree/46213e88caa910a4a52e68bde4fb96416c1efa55/rlinf/models/embodiment/openpi","46213e88caa910a4a52e68bde4fb96416c1efa55","rlinf/models/embodiment/openpi; rlinf/projects/fibocom_vla/openpi_adapter.py; rlinf/projects/fibocom_vla/inference/openpi_rtc.py","openpi_action_model.py prediction/transforms; predict_action_batch_with_openpi_features; OpenPINativeRTCAdapter","Use checkpoint-native input/output transforms and normalized model-action lineage","Adapter reuses model transforms, same-forward prefix output, and normalized model actions; missing lineage fails closed","aligned","not-applicable","","docs/fibocom_vla_evidence/rlinf_lastr1_review.md","Static interface alignment does not certify a real π0.5 checkpoint or GPU execution."
"iface-flashrt","interface","CUDA Graph capture boundary","repo","https://github.com/flashrt-project/FlashRT","f72192b263b267994edd7bbff0a8c62c6da98948","rlinf/projects/fibocom_vla/inference/cuda_graph.py","FlashRT graph runtime and Pi0.5 capture paths; ShapeStableCUDAGraph","Reuse fixed-buffer/capture principles while limiting capture to an explicitly stable tensor signature","Local wrapper capability-gates shape/stride/dtype/device and falls back to eager; it does not copy FlashRT's whole-pipeline capture policy","deviation","not-applicable","","docs/fibocom_vla_evidence/flashrt_realtime_vla_review.md","The deviation is deliberate and implements the requested stable-subgraph/eager-fallback contract."
"iface-realtime-flash","interface","Continuous-action speculative verification","repo","https://github.com/dexmal/realtime-vla-flash","da6ceccad603695a8a3d6fa14dd410c3aadb536f","rlinf/projects/fibocom_vla/inference/speculative.py","spec_pi0_pytorch draft interpolation, B×K verification, prefix acceptance, tail stitch, fallback state","Preserve batched verification and contiguous accepted-prefix semantics","Batched verifier/min-prefix/stitch are preserved; configured low-acceptance takeover can replace the current round rather than only the next round","deviation","not-applicable","","docs/fibocom_vla_evidence/flashrt_realtime_vla_review.md","Same-round takeover is explicitly labelled as a résumé-specific override."
"iface-lerobot-so101","interface","SO101 follower SDK boundary","release","https://github.com/huggingface/lerobot/tree/v0.4.4/src/lerobot/robots/so101_follower","v0.4.4 / 8fff0fde7c79f23a93d845d1a50e985de01f8b8a","rlinf/projects/fibocom_vla/hardware/so101.py","SO101Follower connect/get_observation/send_action/disconnect and *.pos contract","Use the official six-motor follower API without writes in dry-run","Backend maps five arm motors plus gripper, binds units explicitly, and suppresses configure/action/stop writes in dry-run","aligned","not-applicable","","docs/fibocom_vla_evidence/source_lock.json","Real serial, calibration and joint-limit values remain intentionally unconfigured."
"iface-dobot-tcp","interface","Dobot Nova TCP/IP V4 boundary","repo","https://github.com/Dobot-Arm/TCP-IP-Python-V4","55ec1ec82201aaf2e6d54aa47b6272bbaa14c815","rlinf/projects/fibocom_vla/hardware/dobot_nova.py","Feedback port 30004, ServoJ, SafetyState, approach fields, DO/DI calls","Issue ServoJ only after fresh feedback and safety/gripper checks","Backend validates active-low safety bits and approach fields immediately before ServoJ; seven-dimensional mode requires independent DI feedback","aligned","not-applicable","","docs/fibocom_vla_evidence/source_lock.json","No physical Dobot connection or control-authority request was made."
"iface-dobot-ros2","interface","Dobot ROS2 V4 stop/emergency services","repo","https://github.com/Dobot-Arm/DOBOT_6Axis_ROS2_V4","def21d05149576b9aed261f38e62ea236a5d8ec5","rlinf/projects/fibocom_vla/hardware/ros2_joint.py; examples/embodiment/fibocom_vla/config/ros2_nova5_arm.json","dobot_msgs_v4 Stop and EmergencyStop request/response contracts plus JointTrajectory command","Preflight subscriber/services and require acknowledged stop semantics","Backend supports official Dobot V4 services or Trigger, checks res==0, and blocks placeholder endpoints/units in real mode","aligned","not-applicable","","docs/fibocom_vla_evidence/source_lock.json","ROS2 packages and a live graph were not present in the local validation environment."
"test-fibocom-suite","adapter-plumbing","Fibocom policy, inference, RL, hardware and runtime unit suite","runtime","https://github.com/xlr1012514182/RLinf/tree/feat/fibocom-vla-stack","feat/fibocom-vla-stack","tests/unit_tests/projects/fibocom_vla","131 collected unit tests","All component contracts pass under the local CPU test environment","131 passed with one non-fatal old-optree warning","not-applicable","pass","python -m pytest -q tests/unit_tests/projects/fibocom_vla","docs/fibocom_vla_evidence/local_validation_20260825.md","Covers deterministic CPU fakes/mocks; it is not real checkpoint or hardware evidence."
"test-style-syntax","smoke-import","Fibocom style and Python bytecode compilation","runtime","https://github.com/xlr1012514182/RLinf/tree/feat/fibocom-vla-stack","feat/fibocom-vla-stack","rlinf/projects/fibocom_vla; tests/unit_tests/projects/fibocom_vla","Ruff check/format and compileall","No lint, formatting, or syntax failures","Ruff passed, 61 files formatted, compileall exit code 0","not-applicable","pass","ruff check; ruff format --check; python -m compileall -q rlinf/projects/fibocom_vla","docs/fibocom_vla_evidence/local_validation_20260825.md","Sphinx was unavailable, so this row does not claim a documentation build."
"config-templates","runtime-config","Mock, SO101, Dobot and Nova5 ROS2 configuration contracts","runtime","https://github.com/xlr1012514182/RLinf/tree/feat/fibocom-vla-stack/examples/embodiment/fibocom_vla/config","feat/fibocom-vla-stack","examples/embodiment/fibocom_vla/config","Schema required/allowed-key regression plus StackConfig.from_json over all four JSON files","Every template must satisfy declared schema keys and semantic dimension/safety contracts while real templates remain motion-blocked","All four cover the schema keys and parse; SO101 uses explicit custom 7D-policy to 6D-robot kinematics and all real templates retain validation gates","aligned","pass","test_checked_in_action_adapters_cover_schema_keys; StackConfig.from_json for every config/*.json","docs/fibocom_vla_evidence/local_validation_20260825.md","Config validity is not calibration validity; no formal third-party JSON-Schema engine was installed."
"smoke-mock-loop","smoke-one-episode","Finite Mock camera-policy-robot control loop","runtime","https://github.com/xlr1012514182/RLinf/tree/feat/fibocom-vla-stack","feat/fibocom-vla-stack","rlinf/projects/fibocom_vla/cli.py; runtime/controller.py; hardware/mock.py","CLI mock-smoke with a finite 16-step budget","Complete without early stop and suppress all dry-run hardware writes","16 control steps, 2 consumed chunks, stop_reason=maximum_control_steps","not-applicable","pass","python -m rlinf.projects.fibocom_vla.cli mock-smoke --config examples/embodiment/fibocom_vla/config/mock.json --steps 16","docs/fibocom_vla_evidence/local_validation_20260825.md","Mock timings are not model or robot performance results."
"artifact-actor-count","artifact","Residual actor parameter-count contract","runtime","https://github.com/xlr1012514182/RLinf/tree/feat/fibocom-vla-stack","feat/fibocom-vla-stack","rlinf/projects/fibocom_vla/rl/torch_modules.py; examples/embodiment/fibocom_vla/config","actor-report for 7D/562 and 6D/581 actor geometries","Both actors must be within 10000 parameters of the declared 1.82M target","7D actor=1818542; 6D actor=1819139; twin-Q and V are separate","not-applicable","pass","python -m rlinf.projects.fibocom_vla.cli actor-report --config <so101_or_nova5_config>","docs/fibocom_vla_evidence/local_validation_20260825.md","This verifies architecture size only, not learning quality."
"block-pi05-gpu","smoke-actor","Real π0.5 checkpoint and GPU inference stack","model","https://github.com/Physical-Intelligence/openpi","","rlinf/projects/fibocom_vla/factories.py; examples/embodiment/fibocom_vla/README.md","create_openpi_policy_from_env; README π0.5 checkpoint dry-run section","Factory requires explicit model path, OpenPI config, and all enabled residual/speculative assets","No checkpoint path, draft asset, verifier implementation, or local GPU protocol was supplied to the repository","not-applicable","blocked","","docs/fibocom_vla_evidence/claim_boundary.md","Blocked pending explicit checkpoint/data config and a bounded GPU run; the factory fails closed rather than degrading."
"block-physical-robot","partial-evaluation","SO101/Dobot/ROS2 physical task evaluation","runtime","https://github.com/huggingface/lerobot/tree/v0.4.4/src/lerobot/robots/so101_follower","","examples/embodiment/fibocom_vla/config; rlinf/projects/fibocom_vla/hardware","real-mode validation in config.py; SO101/Dobot/ROS2 driver constructors; claim_boundary.md","Validated robot-specific calibration, kinematics, SDK endpoints, cameras, emergency-stop procedure, and paired task protocol","Checked-in templates deliberately contain placeholder calibration/kinematics/SDK values and dry_run=true","not-applicable","blocked","","docs/fibocom_vla_evidence/claim_boundary.md","Blocked until the user integrates physical hardware values and executes the safety checklist."
"block-resume-metrics","partial-evaluation","Résumé success-rate and latency claims","data","https://github.com/dexmal/realtime-vla-flash","","docs/fibocom_vla_evidence","claim_boundary.md; session_019fe3f8_review.md; rlinf_lastr1_review.md; flashrt_realtime_vla_review.md","Same checkpoint, hardware, task/seed manifest, metric clock, raw episodes/per-call samples, and quality gates","Historical and upstream evidence belongs to mixed IsaacLab/Franka, StarVLA/Qwen, or upstream FLASH protocols rather than this π0.5 physical stack","not-applicable","blocked","","docs/fibocom_vla_evidence/claim_boundary.md","112 trajectories, 75.0→96.9%, 48.2→42.8 ms, 58.0→19.1 ms, 3.04x, TensorRT 1.5x, and RTC timing remain unverified here."
"block-spec-production","smoke-actor","Checkpoint-bound π0.5 draft and parallel verifier","model","https://github.com/dexmal/realtime-vla-flash","","rlinf/projects/fibocom_vla/factories.py; rlinf/projects/fibocom_vla/inference/speculative.py","create_openpi_policy_from_env speculative factory hooks; InterpolatedFlowVerifier","Concrete draft checkpoint loader, normalized model-space noise lineage, and one-call π0.5 B×K velocity verifier","Generic contracts and CPU fakes exist, but enabled assembly still requires user-provided draft/verifier factories and no target checkpoint is present","not-applicable","blocked","","docs/fibocom_vla_evidence/local_validation_20260825.md","Do not call the speculative production path ready until checkpoint identity and model-space verifier wiring are reviewed."
"block-cudagraph-production","smoke-actor","OpenPI visual-subgraph CUDA Graph integration","runtime","https://github.com/flashrt-project/FlashRT","","rlinf/projects/fibocom_vla/inference/cuda_graph.py; examples/embodiment/fibocom_vla/benchmark_cuda_graph.py","ShapeStableCUDAGraph and synthetic benchmark entry point","Profile-selected OpenPI visual subgraph wired into the policy with graph/eager parity artifacts","Shape-gated utility is tested, but the checked-in benchmark uses a synthetic MLP and no OpenPI module is wrapped","not-applicable","blocked","","docs/fibocom_vla_evidence/local_validation_20260825.md","Requires a real checkpoint/GPU profile before choosing a capture boundary."
"block-tensorrt-production","smoke-actor","π0.5 TensorRT export/build and runtime selection","runtime","https://github.com/NVIDIA/TensorRT","","rlinf/projects/fibocom_vla/inference/tensorrt_audit.py","TensorRT executor, paired timing and layer-difference audit interfaces","Checkpoint-specific export/build profiles, engine metadata, production policy wiring, and paired parity artifact","Only audit/executor contracts and CPU fakes are present; no π0.5 engine is built or selected by the policy factory","not-applicable","blocked","","docs/fibocom_vla_evidence/local_validation_20260825.md","BF16 fusion remains a hypothesis until an engine-level layer ablation identifies the first divergence."
"remote-environment","smoke-environment","Isolated remote CUDA smoke environment","runtime","https://pytorch.org/get-started/locally/","PyTorch 2.8.0+cu128 / CUDA 12.8","docs/fibocom_vla_evidence/remote_fb0d04a8","remote_run_manifest.json; gpu_inventory_after.csv; gpu_processes_after.csv","CUDA device available in a task-owned environment with no competing GPU compute process","RTX 4080 SUPER capability 8.9 was available; GPU compute-process query was empty before and after; no external process was stopped","not-applicable","pass","nvidia-smi inventory; task-local venv Python/Torch inventory","docs/fibocom_vla_evidence/remote_fb0d04a8/remote_run_manifest.json","The source was a hash-verified git archive because the server-to-GitHub clone path timed out."
