"source","path","total_lines","sha256","reviewed","reviewed_lines","disposition","notes"
"upstream@230ea79b","AGENTS.md","140","57e69693d2e1bbc1d0237548e07189a4f0fb37c38ffd13b2b3e275a653bff996","yes","1-140","included","repository instructions"
"upstream@230ea79b","docs/source-en/rst_source/examples/embodied/rlt.rst","839","a2e1439234771311f5bfefa1bf0f7e02d33e8236647e84ab6d98ec6286504773","yes","1-839","included","official RLT design and runbook"
"upstream@230ea79b","docs/source-zh/rst_source/examples/embodied/rlt.rst","777","7627cafaeb0e9027727335b38b172df92c60b18ad49c1ee38992439e68ea5c18","yes","1-777","included","official Chinese RLT design and runbook"
"upstream@230ea79b","examples/sft/config/maniskill_rlt_stage1_sft_openpi_pi05.yaml","112","5b65fc51bb6f5bd1c2dc4bb617f5ad1881c246fdaade3018a609868875fadf13","yes","1-112","included","Stage1 pi0.5 RLT config"
"upstream@230ea79b","examples/embodiment/config/env/maniskill_rlt.yaml","70","732a1f14db5f797995b3fc279a394b00fbd3ff28dac5857be4eaf7e8a5eb565b","yes","1-70","included","RLT environment config"
"upstream@230ea79b","examples/embodiment/config/maniskill_rlt_stage2_ac_mlp.yaml","366","64a1f1d5eca0f8fd112d78dbf805c0b680323d1997748205913e146d4332cce4","yes","1-366","included","official Stage2 AC config"
"upstream@230ea79b","examples/embodiment/config/maniskill_rlt_stage2_td3_mlp.yaml","374","ac94ee67e5525eb81352a029f4cccd39ab461c87e2e0e93cf073aa9f6bdcef1a","yes","1-374","included","official Stage2 TD3 config"
"upstream@230ea79b","examples/embodiment/train_embodied_agent.py","183","c4fa8c2956e7283c250bd14cdb87bd8258688200193a3dfa5b1425ec11effd1e","yes","1-183","included","worker selection entrypoint"
"upstream@230ea79b","rlinf/algorithms/rlt/__init__.py","35","ffc22ae5d4f3a0f642e8de59c9dd0e0a54be73df453ba0d12b772bd6be8d39aa","yes","1-35","included","RLT exports"
"upstream@230ea79b","rlinf/algorithms/rlt/transition.py","102","851026d2a52c87cf282f9f1a119ef67c4a0b4e061d78d870eb741c969ac77e9b","yes","1-102","included","transition schema"
"upstream@230ea79b","rlinf/algorithms/rlt/route.py","254","c8847130baf6bcc667204b9044d076a3b82e212719bcb20ea728e676fa49354d","yes","1-254","included","reference actor expert routing"
