"record_id","path","artifact_type","authority","review_scope","locators","line_count","size_bytes","sha256","alignment_status","execution_status","portability","notes"
"F001","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/framework/README.md","source-doc","active-local","full","L1-L59","59","3085","6f14600330b3151823dd026b1d5527afde1ed1d4a82d73fad3d118e6643a6261","not-applicable","not-run","generic","Four clocks; universal core; adapter/plugin contract; fail-closed gates"
"F002","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/framework/capability_registry.json","source-config","active-local","full","L1-L203","203","14867","071f40ed78398a71368903b5e0a4984b7d106caf6d4d4a5b739db3ab88c2928b","not-applicable","not-run","generic","Family semantics and backend eligibility/fallback contracts"
"F003","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/framework/examples/starvla_visual_cudagraph_030.json","experiment-contract","active-local","full","L1-L103","103","5204","c892bceddbc1e0b7011d42986d604115ad5617192218efa07729670770233ae6","not-applicable","not-run","StarVLA-specific","Lineage; graph predicates; four-clock measurements; quality/rollback gates"
"F004","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/research_contract.md","research-contract","active-local","full","L1-L133","133","8258","27d38616810467347c5f31da44e30ef7bee024871518df8244e7370ed16de4b6","not-applicable","not-run","generic+StarVLA baseline","Tiering; timing; numerical/task gates; rollback"
"F005","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/review/starvla_execution_path_audit.md","architecture-audit","active-local","targeted-lines","L7-L23; L37-L57; L82-L100; L123-L179","205","8445","4412b8a1c3672222ce70476b213009dee6444834052f9d053f8ba165668ceae7","not-applicable","not-run","StarVLA-specific","Qwen3-VL-4B; 3 views; 14-D state; 50x14 chunk; execute 16"
"F006","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/review/flashrt_review.md","repository-review","active-local","targeted-sections","L3-L38; L40-L69; L98-L118; L146-L180; L241-L259","260","18614","a3a7033518f84698d9e8fcebf2f7abe0cbfc363a7d561677c0ccf4047c5e7ae6","unknown","not-run","FlashRT/Pi0.5/StarVLA","Records commit/archive alignment; no live .git metadata in inspected snapshot"
"F007","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/experiment_roadmap.md","roadmap","active-local","targeted-lines","L5-L16; L77-L114; L145-L229; L249-L300","312","15394","1871b030877c8e7345e7b166c7aa8930bb9f5d275c09d708aa10d16aa0eb37e4","not-applicable","not-run","generic+StarVLA","Experiment order; stop rules; model-family matrix"
"F008","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/mainline_alignment_log.md","experiment-ledger","active-local","targeted-lines","L56-L86; L145-L197; L201-L302","302","48764","8d3ddb1c0c4ee673bd0612815beb26e8df6102c4909e0b81a7226bbf6a32fc1d","not-applicable","not-run","StarVLA-specific","Inductor; token/cache/KV; async positive/negative lineage"
"F009","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/tools/benchmark_starvla_paired_exact.py","benchmark-source","active-local","critical-path","L1-L574; reviewed args, fixed inputs, AB/BA loop, CUDA/wall timing, exactness, bootstrap, reports","574","19912","c53e86f28ec557bd3b6f3cd78b9e9df32f889b12b3cc954eb7b3fa85a708c568","not-applicable","not-run","generic harness with StarVLA adapter","Paired exact benchmark"
"F010","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/tools/audit_starvla_paired_run.py","audit-source","active-local","critical-path","L1-L336; identity/protocol/action/runtime/resource assertions","336","13159","c95d1420321417a6be55053a946d9a2fac07721748fbadb97b43fb752138ace4","not-applicable","not-run","generic harness with StarVLA adapter","Independent paired-run auditor"
"F011","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/tools/freeze_failed_experiment.py","rollback-source","active-local","full","L1-L92","92","3732","73d6205187257e1d1636797d670635fb34b7caf24dd75303997f65b30d71604b","not-applicable","not-run","generic","Identity-bound failure manifest and read-only freeze"
"C001","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/experiments/robodojo-starvla-cudagraph-initial-replay-requalified-20260809-027/benchmark_cudagraph_visual.py","candidate-source","active-local","full","L1-L507; proxy L42-L419; variant control L426-L503","507","21264","ecef937a10184f35ca697d95e4a2fa1813b593af5550951894a071019e90efe7","not-applicable","not-run","StarVLA-specific implementation; generic pattern","Visual CUDA Graph with initial replay and eager fallback"
"C002","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/experiments/robodojo-starvla-cudagraph-initial-replay-requalified-20260809-027/audit_cudagraph_visual.py","candidate-auditor","active-local","full","L1-L190","190","8210","b50b38354ba45b28c9240a60ac1bfe6a600af38c63a734767359f0e8e18241e4","not-applicable","not-run","StarVLA-specific","Capture/replay/fallback/exactness assertions"
"C003","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/experiments/robodojo-starvla-cudagraph-initial-replay-requalified-20260809-027/reports/formal_report.md","experiment-report","active-local","full","L1-L15","15","2320","f07a3dff3dac024c889331f4425bc70ad01dc03c9557ba861fd26410b422d66e","not-applicable","not-run","StarVLA-specific","48.1572 to 42.7936 ms; exact actions; 220 replays"
"C004","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/experiments/robodojo-starvla-cudagraph-quality-20260809-030/README.md","experiment-doc","active-local","full","L1-L44","44","2261","3984a186185e9f564946eb6604cf1ea1a0d24799fd208e470fef7cdfc5eaa399","not-applicable","not-run","StarVLA/RoboDojo-specific","Closed-loop quality protocol"
"C005","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/experiments/robodojo-starvla-cudagraph-quality-20260809-030/rollback_experiment.sh","rollback-source","active-local","full","L1-L38","38","1687","ffcec04ca634968362398f2c3a76a6cdf3d6b9258ff56114371b0f8428e03710","not-applicable","not-run","generic pattern","Process-local rollback"
"C006","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/experiments/robodojo-starvla-cudagraph-quality-20260809-030/tools/aggregate_cudagraph_quality.py","quality-aggregator","active-local","critical-path","L1-L495; task/seed/score/runtime/video/manual-QA gates","495","18922","565ae7a05a2a0b0bc3ad1be5b35ce105f3f9717478b3f7992b5b3182c4d5b100","not-applicable","not-run","StarVLA/RoboDojo-specific","Aggregates fixed 50-episode panel"
"C007","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/experiments/robodojo-starvla-cudagraph-quality-20260809-030/audit_experiment.py","quality-auditor","active-local","critical-path","L1-L344; identity, hard-split, quality and runtime evidence","344","16190","ce6bff60544a2bdef80ed5289fa2d0cc17daa91a931ce4ba03290bbee23b4b2d","not-applicable","not-run","StarVLA/RoboDojo-specific","Historical audit failed; evidence preserved"
"C008","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/experiments/robodojo-starvla-cudagraph-quality-audit-requalification-inode-fix-20260809-033/README.md","requalification-doc","active-local","full","L1-L15","15","840","00ab0830ca71d96487ce2ccccf640fa6da63823c51251c3c27d995730528ae9e","not-applicable","not-run","audit-only","One-fix inode successor; research only"
"C009","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/experiments/robodojo-starvla-cudagraph-quality-audit-requalification-inode-fix-20260809-033/audit_requalification_inode_fix.py","requalification-source","active-local","full","L1-L94","94","3568","91d41972bfbeb71a003a311e065e40453acb176e23aa95608cf18cbae0835c4a","not-applicable","not-run","audit-only","Corrects st_dev:st_ino serialization without model/environment execution"
"C010","E:/Documents/brainco_for_Dexhand_V1/inference_acceleration_20260807/sealed_remote_evidence/robodojo-starvla-last-decoder-layer-cudagraph-paired-timing-20260813-137/reports/mainline_review.md","experiment-review","active-local","full","L1-L15","15","1049","68017cf633e2383f57f7e34597b9ae61ab3efd8b2084bb7387c2f9bfb49392c2","not-applicable","not-run","StarVLA-specific","Last decoder graph is exact but slower"
