record_type,repo,commit,scope,files,bytes,lines,reviewed,reviewed_lines,excluded,artifact_sha256,artifact_path,note
repository,FlashRT,f72192b263b267994edd7bbff0a8c62c6da98948,all-tracked,2374,42985769,1027031,1625,444492,749,,,"Git-index enumeration; vendor/binary exclusions are separately summarized below"
repository,realtime-vla-flash,da6ceccad603695a8a3d6fa14dd410c3aadb536f,all-tracked,178,5471783,48065,166,48065,12,,,"Git-index enumeration; gitlinks/assets are separately summarized below"
scope,FlashRT,f72192b263b267994edd7bbff0a8c62c6da98948,first-party-tracked-text,1606,18962686,439538,1606,439538,0,,,"Reviewed line by line"
scope,FlashRT,f72192b263b267994edd7bbff0a8c62c6da98948,third-party-derived-integrated-source,10,178926,4388,10,4388,0,,,"Integrated source reviewed; provenance retained"
scope,FlashRT,f72192b263b267994edd7bbff0a8c62c6da98948,third-party-provenance-metadata,9,28907,566,9,566,0,,,"License/vendor metadata reviewed"
scope,FlashRT,f72192b263b267994edd7bbff0a8c62c6da98948,third-party-vendored-source,746,22896274,582539,0,0,746,,,"Upstream vendored implementation excluded from first-party semantic review; inventoried and hashed"
scope,FlashRT,f72192b263b267994edd7bbff0a8c62c6da98948,binary-or-generated-asset,2,918976,0,0,0,2,,,"Inventoried and hashed; no semantic line review"
scope,FlashRT,f72192b263b267994edd7bbff0a8c62c6da98948,placeholder,1,0,0,0,0,1,,,"Empty placeholder"
scope,realtime-vla-flash,da6ceccad603695a8a3d6fa14dd410c3aadb536f,first-party-tracked-text,166,2464415,48065,166,48065,0,,,"Reviewed line by line"
scope,realtime-vla-flash,da6ceccad603695a8a3d6fa14dd410c3aadb536f,binary-or-generated-asset,9,3005945,0,0,0,9,,,"Inventoried and hashed; no semantic line review"
scope,realtime-vla-flash,da6ceccad603695a8a3d6fa14dd410c3aadb536f,third-party-submodule-gitlink,2,0,0,0,0,2,,,"Pinned gitlink and outer interface reviewed; nested implementation excluded"
scope,realtime-vla-flash,da6ceccad603695a8a3d6fa14dd410c3aadb536f,visual-asset,1,1423,0,0,0,1,,,"Inventoried and hashed"
artifact,ALL,,full-file-manifest,2552,981547,,1791,492557,761,84810af4dd50dae3ce92bd6eb84f33f48c21046c267c6996b108e94ab8bf7785,work/fibocom_vla_stack/audit/manifests/flashrt_realtime_vla_files.csv,"Canonical per-file path/line/SHA-256 manifest; kept outside project tree due size"
artifact,ALL,,full-audit-report,1,27592,379,,,,3af8e1864b919d4b402e34c20566e5638adfa0f5e3fd83acbbd4b7645bb70aab,work/fibocom_vla_stack/audit/flashrt_realtime_vla_review.md,"Canonical full report; this directory contains a refined copy"
